"","x"
"533","0"
"534","2"
"535","13"
"536","4"
"537","0"
"538","1"
"539","1"
"540","11"
"541","0"
"542","2"
"543","0"
"544","12"
"545","2"
"546","1"
"547","1"
"548","1"
"549","8"
"550","5"
"551","11"
"552","0"
"553","1"
"554","3"
"555","2"
"556","0"
"557","2"
"558","4"
"559","0"
"560","9"
"561","8"
"562","5"
"563","0"
"564","0"
"565","0"
"566","0"
"567","0"
"568","2"
"569","13"
"570","1"
"571","8"
"572","0"
"573","6"
"574","2"
"575","1"
"576","2"
"577","0"
"578","4"
"579","3"
"580","7"
"581","1"
"582","1"
"583","0"
"584","5"
"585","1"
"586","0"
"587","1"
"588","7"
"589","0"
"590","3"
"591","0"
"592","3"
"593","3"
"594","8"
"595","8"
"596","0"
"597","2"
"598","8"
"599","9"
"600","1"
"601","1"
"602","8"
"603","8"
"604","2"
"605","0"
"606","0"
"607","2"
"608","3"
"609","3"
"610","3"
"611","3"
"612","0"
"613","3"
"614","0"
"615","3"
"616","2"
"617","1"
"618","5"
"619","0"
"620","5"
"621","3"
"622","3"
"623","10"
"624","11"
"625","3"
"626","1"
"627","1"
"628","2"
"629","8"
"630","2"
"631","2"
"632","2"
"633","1"
"634","2"
"635","1"
"636","3"
"637","4"
"638","2"
"639","4"
"640","10"
"641","7"
"642","2"
"643","2"
"644","4"
"645","0"
"646","0"
"647","0"
"648","0"
"649","3"
"650","5"
"651","1"
"652","2"
"653","1"
"654","4"
"655","1"
"656","2"
"657","7"
"658","3"
"659","5"
"660","10"
"661","0"
"662","4"
"663","2"
"664","2"
"665","0"
"666","0"
"667","2"
"668","1"
"669","2"
"670","10"
"671","7"
"672","2"
"673","4"
"674","0"
"675","0"
"676","2"
"677","7"
"678","2"
"679","8"
"680","1"
"681","4"
"682","12"
"683","2"
"684","2"
"685","1"
"686","10"
"687","0"
"688","4"
"689","2"
"690","1"
"691","1"
"692","2"
"693","0"
"694","1"
"695","2"
"696","1"
"697","0"
"698","1"
"699","0"
"700","0"
"701","2"
"702","7"
"703","1"
"704","6"
"705","8"
"706","8"
"707","4"
"708","2"
"709","0"
"710","0"
"711","5"
"712","2"
"713","5"
"714","1"
"715","2"
"716","3"
"717","2"
"718","5"
"719","2"
"720","7"
"721","1"
"722","1"
"723","0"
"724","3"
"725","4"
"726","2"
"727","0"
"728","0"
"729","0"
"730","4"
"731","0"
"732","1"
"733","0"
"734","2"
"735","1"
"736","0"
"737","2"
"738","2"
"739","4"
"740","1"
"741","7"
"742","0"
"743","0"
"744","2"
"745","0"
"746","2"
"747","1"
"748","2"
"749","12"
"750","3"
"751","2"
"752","2"
"753","3"
"754","0"
"755","2"
"756","0"
"757","3"
